No,X_train_Context_Indices,X_train_Context_Words,y_train_Target_Index,y_train_Target_Word
128,"[56, 237, 53, 184]","['commun', 'scienc', 'cocs', 'nelson']",81,engin
129,"[237, 81, 184, 162]","['scienc', 'engin', 'nelson', 'mandela']",53,cocs
130,"[81, 53, 162, 8]","['engin', 'cocs', 'mandela', 'african']",184,nelson
131,"[53, 184, 8, 124]","['cocs', 'nelson', 'african', 'institut']",162,mandela
132,"[184, 162, 124, 237]","['nelson', 'mandela', 'institut', 'scienc']",8,african
133,"[162, 8, 237, 255]","['mandela', 'african', 'scienc', 'technolog']",124,institut
134,"[8, 124, 255, 186]","['african', 'institut', 'technolog', 'nm']",237,scienc
135,"[124, 237, 186, 11]","['institut', 'scienc', 'nm', 'aist']",255,technolog
136,"[237, 255, 11, 198]","['scienc', 'technolog', 'aist', 'p']",186,nm
137,"[255, 186, 198, 40]","['technolog', 'nm', 'p', 'box']",11,aist
138,"[186, 11, 40, 22]","['nm', 'aist', 'box', 'arusha']",198,p
139,"[11, 198, 22, 254]","['aist', 'p', 'arusha', 'tanzania']",40,box
140,"[198, 40, 254, 35]","['p', 'box', 'tanzania', 'bdepart']",22,arusha
141,"[40, 22, 35, 57]","['box', 'arusha', 'bdepart', 'comput']",254,tanzania
142,"[22, 254, 57, 237]","['arusha', 'tanzania', 'comput', 'scienc']",35,bdepart
143,"[254, 35, 237, 81]","['tanzania', 'bdepart', 'scienc', 'engin']",57,comput
144,"[35, 57, 81, 165]","['bdepart', 'comput', 'engin', 'mbeya']",237,scienc
145,"[57, 237, 165, 265]","['comput', 'scienc', 'mbeya', 'univers']",81,engin
146,"[237, 81, 265, 237]","['scienc', 'engin', 'univers', 'scienc']",165,mbeya
147,"[81, 165, 237, 255]","['engin', 'mbeya', 'scienc', 'technolog']",265,univers
148,"[165, 265, 255, 180]","['mbeya', 'univers', 'technolog', 'must']",237,scienc
149,"[265, 237, 180]","['univers', 'scienc', 'must']",255,technolog
150,"[237, 255]","['scienc', 'technolog']",180,must
151,"[152, 28]","['list', 'avail']",58,content
152,"[58, 28, 238]","['content', 'avail', 'sciencedirect']",152,list
153,"[58, 152, 238, 223]","['content', 'list', 'sciencedirect', 'result']",28,avail
154,"[152, 28, 223, 81]","['list', 'avail', 'result', 'engin']",238,sciencedirect
155,"[28, 238, 81, 131]","['avail', 'sciencedirect', 'engin', 'journal']",223,result
156,"[238, 223, 131, 109]","['sciencedirect', 'result', 'journal', 'homepag']",81,engin
157,"[223, 81, 109, 276]","['result', 'engin', 'homepag', 'www']",131,journal
158,"[81, 131, 276, 238]","['engin', 'journal', 'www', 'sciencedirect']",109,homepag
159,"[131, 109, 238, 55]","['journal', 'homepag', 'sciencedirect', 'com']",276,www
160,"[109, 276, 55, 131]","['homepag', 'www', 'com', 'journal']",238,sciencedirect
161,"[276, 238, 131, 223]","['www', 'sciencedirect', 'journal', 'result']",55,com
162,"[238, 55, 223, 81]","['sciencedirect', 'com', 'result', 'engin']",131,journal
163,"[55, 131, 81, 220]","['com', 'journal', 'engin', 'research']",223,result
164,"[131, 223, 220, 199]","['journal', 'result', 'research', 'paper']",81,engin
165,"[223, 81, 199, 195]","['result', 'engin', 'paper', 'optim']",220,research
166,"[81, 220, 195, 224]","['engin', 'research', 'optim', 'rice']",199,paper
167,"[220, 199, 224, 284]","['research', 'paper', 'rice', 'yield']",195,optim
168,"[199, 195, 284, 208]","['paper', 'optim', 'yield', 'predict']",224,rice
169,"[195, 224, 208, 205]","['optim', 'rice', 'predict', 'polici']",284,yield
170,"[224, 284, 205, 196]","['rice', 'yield', 'polici', 'orient']",208,predict
171,"[284, 208, 196, 21]","['yield', 'predict', 'orient', 'approach']",205,polici
172,"[208, 205, 21, 9]","['predict', 'polici', 'approach', 'agricultur']",196,orient
173,"[205, 196, 9, 251]","['polici', 'orient', 'agricultur', 'sustain']",21,approach
174,"[196, 21, 251, 230]","['orient', 'approach', 'sustain', 'sarukb']",9,agricultur
175,"[21, 9, 230, 175]","['approach', 'agricultur', 'sarukb', 'mokesh']",251,sustain
176,"[9, 251, 175, 216]","['agricultur', 'sustain', 'mokesh', 'rayalug']",230,sarukb
177,"[251, 230, 216, 236]","['sustain', 'sarukb', 'rayalug', 'school']",175,mokesh
178,"[230, 175, 236, 7]","['sarukb', 'mokesh', 'school', 'advanc']",216,rayalug
179,"[175, 216, 7, 237]","['mokesh', 'rayalug', 'advanc', 'scienc']",236,school
180,"[216, 236, 237, 268]","['rayalug', 'school', 'scienc', 'vellor']",7,advanc
181,"[236, 7, 268, 124]","['school', 'advanc', 'vellor', 'institut']",237,scienc
182,"[7, 237, 124, 255]","['advanc', 'scienc', 'institut', 'technolog']",268,vellor
183,"[237, 268, 255, 268]","['scienc', 'vellor', 'technolog', 'vellor']",124,institut
184,"[268, 124, 268, 119]","['vellor', 'institut', 'vellor', 'india']",255,technolog
185,"[124, 255, 119, 214]","['institut', 'technolog', 'india', 'r']",268,vellor
186,"[255, 268, 214, 44]","['technolog', 'vellor', 'r', 'c']",119,india
187,"[268, 119, 44, 143]","['vellor', 'india', 'c', 'l']",214,r
188,"[119, 214, 143, 79]","['india', 'r', 'l', 'e']",44,c
189,"[214, 44, 79, 181]","['r', 'c', 'e', 'n']",143,l
190,"[44, 143, 181, 87]","['c', 'l', 'n', 'f']",79,e
191,"[143, 79, 87, 30]","['l', 'e', 'f', 'b']",181,n
192,"[79, 181, 30, 214]","['e', 'n', 'b', 'r']",87,f
193,"[181, 87, 214, 44]","['n', 'f', 'r', 'c']",30,b
194,"[87, 30, 44, 138]","['f', 'b', 'c', 'keyword']",214,r
195,"[30, 214, 138, 224]","['b', 'r', 'keyword', 'rice']",44,c
196,"[214, 44, 224, 284]","['r', 'c', 'rice', 'yield']",138,keyword
197,"[44, 138, 284, 208]","['c', 'keyword', 'yield', 'predict']",224,rice
198,"[138, 224, 208, 158]","['keyword', 'rice', 'predict', 'machin']",284,yield
199,"[224, 284, 158]","['rice', 'yield', 'machin']",208,predict
200,"[284, 208]","['yield', 'predict']",158,machin
201,"[190, 9]","['ofintegr', 'agricultur']",131,journal
202,"[131, 9, 288]","['journal', 'agricultur', 'yuchenwu']",190,ofintegr
203,"[131, 190, 288, 79]","['journal', 'ofintegr', 'yuchenwu', 'e']",9,agricultur
204,"[190, 9, 79, 159]","['ofintegr', 'agricultur', 'e', 'mail']",288,yuchenwu
205,"[9, 288, 159, 211]","['agricultur', 'yuchenwu', 'mail', 'qq']",79,e
206,"[288, 79, 211, 55]","['yuchenwu', 'e', 'qq', 'com']",159,mail
207,"[79, 159, 55, 61]","['e', 'mail', 'com', 'correspond']",211,qq
208,"[159, 211, 61, 27]","['mail', 'qq', 'correspond', 'author']",55,com
209,"[211, 55, 27, 79]","['qq', 'com', 'author', 'e']",61,correspond
210,"[55, 61, 79, 159]","['com', 'correspond', 'e', 'mail']",27,author
211,"[61, 27, 159, 271]","['correspond', 'author', 'mail', 'wanglihua']",79,e
212,"[27, 79, 271, 183]","['author', 'e', 'wanglihua', 'nbu']",159,mail
213,"[79, 159, 183, 80]","['e', 'mail', 'nbu', 'edu']",271,wanglihua
214,"[159, 271, 80, 52]","['mail', 'wanglihua', 'edu', 'cnphase']",183,nbu
215,"[271, 183, 52, 78]","['wanglihua', 'nbu', 'cnphase', 'dynam']",80,edu
216,"[183, 80, 78, 12]","['nbu', 'edu', 'dynam', 'analysi']",52,cnphase
217,"[80, 52, 12, 15]","['edu', 'cnphase', 'analysi', 'andpredict']",78,dynam
218,"[52, 78, 15, 192]","['cnphase', 'dynam', 'andpredict', 'ofricechilosuppressali']",12,analysi
219,"[78, 12, 192, 125]","['dynam', 'analysi', 'ofricechilosuppressali', 'integr']",15,andpredict
220,"[12, 15, 125, 218]","['analysi', 'andpredict', 'integr', 'remot']",192,ofricechilosuppressali
221,"[15, 192, 218, 240]","['andpredict', 'ofricechilosuppressali', 'remot', 'sens']",125,integr
222,"[192, 125, 240, 202]","['ofricechilosuppressali', 'integr', 'sens', 'physiolog']",218,remot
223,"[125, 218, 202, 121]","['integr', 'remot', 'physiolog', 'indic']",240,sens
224,"[218, 240, 121, 14]","['remot', 'sens', 'indic', 'andenvironment']",202,physiolog
225,"[240, 202, 14, 88]","['sens', 'physiolog', 'andenvironment', 'factor']",121,indic
226,"[202, 121, 88, 288]","['physiolog', 'indic', 'factor', 'yuchenwu']",14,andenvironment
227,"[121, 14, 288, 151]","['indic', 'andenvironment', 'yuchenwu', 'lihuawang']",88,factor
228,"[14, 88, 151, 282]","['andenvironment', 'factor', 'lihuawang', 'yanxiaobao']",288,yuchenwu
229,"[88, 288, 282, 274]","['factor', 'yuchenwu', 'yanxiaobao', 'weiweisun']",151,lihuawang
230,"[288, 151, 274, 296]","['yuchenwu', 'lihuawang', 'weiweisun', 'zhiyuanyao']",282,yanxiaobao
231,"[151, 282, 296, 99]","['lihuawang', 'yanxiaobao', 'zhiyuanyao', 'gangyang']",274,weiweisun
232,"[282, 274, 99, 290]","['yanxiaobao', 'weiweisun', 'gangyang', 'yumiaowang']",296,zhiyuanyao
233,"[274, 296, 290, 236]","['weiweisun', 'zhiyuanyao', 'yumiaowang', 'school']",99,gangyang
234,"[296, 99, 236, 189]","['zhiyuanyao', 'gangyang', 'school', 'ofgeographi']",290,yumiaowang
235,"[99, 290, 189, 16]","['gangyang', 'yumiaowang', 'ofgeographi', 'andremot']",236,school
236,"[290, 236, 16, 240]","['yumiaowang', 'school', 'andremot', 'sens']",189,ofgeographi
237,"[236, 189, 240, 185]","['school', 'ofgeographi', 'sens', 'ningbo']",16,andremot
238,"[189, 16, 185, 265]","['ofgeographi', 'andremot', 'ningbo', 'univers']",240,sens
239,"[16, 240, 265, 185]","['andremot', 'sens', 'univers', 'ningbo']",185,ningbo
240,"[240, 185, 185, 49]","['sens', 'ningbo', 'ningbo', 'china']",265,univers
241,"[185, 265, 49, 185]","['ningbo', 'univers', 'china', 'ningbo']",185,ningbo
242,"[265, 185, 185, 137]","['univers', 'ningbo', 'ningbo', 'keylaboratori']",49,china
243,"[185, 49, 137, 191]","['ningbo', 'china', 'keylaboratori', 'ofremot']",185,ningbo
244,"[49, 185, 191, 240]","['china', 'ningbo', 'ofremot', 'sens']",137,keylaboratori
245,"[185, 137, 240, 13]","['ningbo', 'keylaboratori', 'sens', 'andecolog']",191,ofremot
246,"[137, 191, 13, 239]","['keylaboratori', 'ofremot', 'andecolog', 'secur']",240,sens
247,"[191, 240, 239, 188]","['ofremot', 'sens', 'secur', 'ofcoast']",13,andecolog
248,"[240, 13, 188, 299]","['sens', 'andecolog', 'ofcoast', 'zone']",239,secur
249,"[13, 239, 299]","['andecolog', 'secur', 'zone']",188,ofcoast
250,"[239, 188]","['secur', 'ofcoast']",299,zone
251,"[147, 284]","['level', 'yield']",203,plant
252,"[203, 284, 208]","['plant', 'yield', 'predict']",147,level
253,"[203, 147, 208, 213]","['plant', 'level', 'predict', 'quinoa']",284,yield
254,"[147, 284, 213, 92]","['level', 'yield', 'quinoa', 'field']",208,predict
255,"[284, 208, 92, 204]","['yield', 'predict', 'field', 'plot']",213,quinoa
256,"[208, 213, 204, 3]","['predict', 'quinoa', 'plot', 'across']",92,field
257,"[213, 92, 3, 104]","['quinoa', 'field', 'across', 'growth']",204,plot
258,"[92, 204, 104, 248]","['field', 'plot', 'growth', 'stage']",3,across
259,"[204, 3, 248, 266]","['plot', 'across', 'stage', 'use']",104,growth
260,"[3, 104, 266, 263]","['across', 'growth', 'use', 'uav']",248,stage
261,"[104, 248, 263, 70]","['growth', 'stage', 'uav', 'deriv']",266,use
262,"[248, 266, 70, 250]","['stage', 'use', 'deriv', 'structur']",263,uav
263,"[266, 263, 250, 247]","['use', 'uav', 'structur', 'spectral']",70,deriv
264,"[263, 70, 247, 91]","['uav', 'deriv', 'spectral', 'featur']",250,structur
265,"[70, 250, 91, 158]","['deriv', 'structur', 'featur', 'machin']",247,spectral
266,"[250, 247, 158, 146]","['structur', 'spectral', 'machin', 'learn']",91,featur
267,"[247, 91, 146, 234]","['spectral', 'featur', 'learn', 'sayo']",158,machin
268,"[91, 158, 234, 242]","['featur', 'machin', 'sayo', 'sesaya']",146,learn
269,"[158, 146, 242, 260]","['machin', 'learn', 'sesaya', 'tomoaki']",234,sayo
270,"[146, 234, 260, 278]","['learn', 'sayo', 'tomoaki', 'yamaguchib']",242,sesaya
271,"[234, 242, 278, 233]","['sayo', 'sesaya', 'yamaguchib', 'sayako']",260,tomoaki
272,"[242, 260, 233, 142]","['sesaya', 'tomoaki', 'sayako', 'kushinoa']",278,yamaguchib
273,"[260, 278, 142, 283]","['tomoaki', 'yamaguchib', 'kushinoa', 'yasuharu']",233,sayako
274,"[278, 233, 283, 286]","['yamaguchib', 'sayako', 'yasuharu', 'yoshikawac']",142,kushinoa
275,"[233, 142, 286, 244]","['sayako', 'kushinoa', 'yoshikawac', 'shunsuk']",283,yasuharu
276,"[142, 283, 244, 5]","['kushinoa', 'yasuharu', 'shunsuk', 'adach']",286,yoshikawac
277,"[283, 286, 5, 135]","['yasuharu', 'yoshikawac', 'adach', 'keisuk']",244,shunsuk
278,"[286, 244, 135, 134]","['yoshikawac', 'shunsuk', 'keisuk', 'katsurad']",5,adach
279,"[244, 5, 134, 26]","['shunsuk', 'adach', 'katsurad', 'aunit']",135,keisuk
280,"[5, 135, 26, 102]","['adach', 'keisuk', 'aunit', 'graduat']",134,katsurad
281,"[135, 134, 102, 236]","['keisuk', 'katsurad', 'graduat', 'school']",26,aunit
282,"[134, 26, 236, 9]","['katsurad', 'aunit', 'school', 'agricultur']",102,graduat
283,"[26, 102, 9, 237]","['aunit', 'graduat', 'agricultur', 'scienc']",236,school
284,"[102, 236, 237, 259]","['graduat', 'school', 'scienc', 'tokyo']",9,agricultur
285,"[236, 9, 259, 265]","['school', 'agricultur', 'tokyo', 'univers']",237,scienc
286,"[9, 237, 265, 9]","['agricultur', 'scienc', 'univers', 'agricultur']",259,tokyo
287,"[237, 259, 9, 255]","['scienc', 'tokyo', 'agricultur', 'technolog']",265,univers
288,"[259, 265, 255, 96]","['tokyo', 'univers', 'technolog', 'fuchu']",9,agricultur
289,"[265, 9, 96, 259]","['univers', 'agricultur', 'fuchu', 'tokyo']",255,technolog
290,"[9, 255, 259, 127]","['agricultur', 'technolog', 'tokyo', 'japan']",96,fuchu
291,"[255, 96, 127, 38]","['technolog', 'fuchu', 'japan', 'bfaculti']",259,tokyo
292,"[96, 259, 38, 19]","['fuchu', 'tokyo', 'bfaculti', 'appli']",127,japan
293,"[259, 127, 19, 39]","['tokyo', 'japan', 'appli', 'biolog']",38,bfaculti
294,"[127, 38, 39, 237]","['japan', 'bfaculti', 'biolog', 'scienc']",19,appli
295,"[38, 19, 237, 101]","['bfaculti', 'appli', 'scienc', 'gifu']",39,biolog
296,"[19, 39, 101, 265]","['appli', 'biolog', 'gifu', 'univers']",237,scienc
297,"[39, 237, 265, 280]","['biolog', 'scienc', 'univers', 'yanagido']",101,gifu
298,"[237, 101, 280, 101]","['scienc', 'gifu', 'yanagido', 'gifu']",265,univers
299,"[101, 265, 101]","['gifu', 'univers', 'gifu']",280,yanagido
300,"[265, 280]","['univers', 'yanagido']",101,gifu
301,"[76, 261]","['driver', 'transfer']",208,predict
302,"[208, 261, 177]","['predict', 'transfer', 'multi']",76,driver
303,"[208, 76, 177, 235]","['predict', 'driver', 'multi', 'scale']",261,transfer
304,"[76, 261, 235, 158]","['driver', 'transfer', 'scale', 'machin']",177,multi
305,"[261, 177, 158, 146]","['transfer', 'multi', 'machin', 'learn']",235,scale
306,"[177, 235, 146, 34]","['multi', 'scale', 'learn', 'base']",158,machin
307,"[235, 158, 34, 63]","['scale', 'machin', 'base', 'crop']",146,learn
308,"[158, 146, 63, 284]","['machin', 'learn', 'crop', 'yield']",34,base
309,"[146, 34, 284, 208]","['learn', 'base', 'yield', 'predict']",63,crop
310,"[34, 63, 208, 77]","['base', 'crop', 'predict', 'drought']",284,yield
311,"[63, 284, 77, 3]","['crop', 'yield', 'drought', 'across']",208,predict
312,"[284, 208, 3, 85]","['yield', 'predict', 'across', 'european']",77,drought
313,"[208, 77, 85, 24]","['predict', 'drought', 'european', 'asian']",3,across
314,"[77, 3, 24, 51]","['drought', 'across', 'asian', 'climat']",85,european
315,"[3, 85, 51, 108]","['across', 'european', 'climat', 'hempushpa']",24,asian
316,"[85, 24, 108, 228]","['european', 'asian', 'hempushpa', 'sahua']",51,climat
317,"[24, 51, 228, 30]","['asian', 'climat', 'sahua', 'b']",108,hempushpa
318,"[51, 108, 30, 207]","['climat', 'hempushpa', 'b', 'pradeep']",228,sahua
319,"[108, 228, 207, 141]","['hempushpa', 'sahua', 'pradeep', 'kumar']",30,b
320,"[228, 30, 141, 100]","['sahua', 'b', 'kumar', 'garga']",207,pradeep
321,"[30, 207, 100, 232]","['b', 'pradeep', 'garga', 'saurabh']",141,kumar
322,"[207, 141, 232, 269]","['pradeep', 'kumar', 'saurabh', 'vijaya']",100,garga
